"","Case","Images","DAB","Hem","Ratio","D_Objects","H_Objects","Object_Ratio"
"249","7","7_Reactive_2_p53_8_features_d.csv 7_Reactive_2_p53_8_features_h.csv",14057,725828,0.0193668472420463,22,1308,0.0168195718654434
"250","7","7_Reactive_2_p53_9_features_d.csv 7_Reactive_2_p53_9_features_h.csv",2034,249503,0.00815220658669435,3,508,0.00590551181102362
"251","7","7_Recurrent_p53_1_features_d.csv 7_Recurrent_p53_1_features_h.csv",28060,1109722,0.0252856120722127,37,1484,0.0249326145552561
"252","7","7_Recurrent_p53_10_features_d.csv 7_Recurrent_p53_10_features_h.csv",8271,597006,0.0138541321192752,14,877,0.015963511972634
"253","7","7_Recurrent_p53_2_features_d.csv 7_Recurrent_p53_2_features_h.csv",18081,1092826,0.0165451773658387,22,1575,0.013968253968254
"254","7","7_Recurrent_p53_3_features_d.csv 7_Recurrent_p53_3_features_h.csv",47702,938559,0.0508247217276698,70,1609,0.0435052827843381
"255","7","7_Recurrent_p53_4_features_d.csv 7_Recurrent_p53_4_features_h.csv",28590,1014235,0.028188733380331,41,1559,0.0262989095574086
"256","7","7_Recurrent_p53_5_features_d.csv 7_Recurrent_p53_5_features_h.csv",23389,905783,0.0258218579946853,31,1339,0.0231516056758775
"257","7","7_Recurrent_p53_6_features_d.csv 7_Recurrent_p53_6_features_h.csv",12809,894790,0.0143150906916707,17,1412,0.0120396600566572
"258","7","7_Recurrent_p53_7_features_d.csv 7_Recurrent_p53_7_features_h.csv",14404,1223944,0.0117685122848758,19,1735,0.0109510086455331
"259","7","7_Recurrent_p53_8_features_d.csv 7_Recurrent_p53_8_features_h.csv",38476,1326511,0.0290054134492665,42,1858,0.0226049515608181
"260","7","7_Recurrent_p53_9_features_d.csv 7_Recurrent_p53_9_features_h.csv",36989,1356577,0.0272664212941838,51,1981,0.0257445734477537
