"","Case","Images","DAB","Hem","Ratio","D_Objects","H_Objects","Object_Ratio"
"117","4","4_Recurrent_Olig2_6_features_d.csv 4_Recurrent_Olig2_6_features_h.csv",48970,363009,0.134900236633252,69,497,0.138832997987928
"118","4","4_Recurrent_Olig2_7_features_d.csv 4_Recurrent_Olig2_7_features_h.csv",34933,360017,0.097031529066683,53,478,0.110878661087866
"119","4","4_Recurrent_Olig2_8_features_d.csv 4_Recurrent_Olig2_8_features_h.csv",105846,288884,0.366396200551086,153,442,0.346153846153846
"120","4","4_Recurrent_Olig2_9_features_d.csv 4_Recurrent_Olig2_9_features_h.csv",142269,389266,0.365480160096181,248,636,0.389937106918239
"121","50","50_Control_Olig2_1_features_d.csv 50_Control_Olig2_1_features_h.csv",0,400729,0,0,705,0
"122","50","50_Control_Olig2_10_features_d.csv 50_Control_Olig2_10_features_h.csv",16875,216543,0.0779290949141741,40,363,0.110192837465565
"123","50","50_Control_Olig2_2_features_d.csv 50_Control_Olig2_2_features_h.csv",16416,253963,0.0646393372262889,45,433,0.103926096997691
"124","50","50_Control_Olig2_3_features_d.csv 50_Control_Olig2_3_features_h.csv",47302,422623,0.111924812421473,117,662,0.176737160120846
"125","50","50_Control_Olig2_4_features_d.csv 50_Control_Olig2_4_features_h.csv",64930,670855,0.0967869360741144,162,925,0.175135135135135
"126","50","50_Control_Olig2_5_features_d.csv 50_Control_Olig2_5_features_h.csv",71800,419598,0.17111616356608,178,616,0.288961038961039
"127","50","50_Control_Olig2_6_features_d.csv 50_Control_Olig2_6_features_h.csv",15785,414106,0.0381182595760506,39,755,0.0516556291390728
"128","50","50_Control_Olig2_7_features_d.csv 50_Control_Olig2_7_features_h.csv",37858,448160,0.0844742948946805,131,772,0.169689119170984
"129","50","50_Control_Olig2_8_features_d.csv 50_Control_Olig2_8_features_h.csv",86601,442832,0.195561748021823,220,702,0.313390313390313
"130","50","50_Control_Olig2_9_features_d.csv 50_Control_Olig2_9_features_h.csv",7041,230308,0.0305721034440836,20,397,0.0503778337531486
"131","50","50_Reactive_Olig2_1_features_d.csv 50_Reactive_Olig2_1_features_h.csv",23972,255563,0.0938007458043613,54,445,0.121348314606742
"132","50","50_Reactive_Olig2_10_features_d.csv 50_Reactive_Olig2_10_features_h.csv",84575,341889,0.247375610212671,243,594,0.409090909090909
"133","50","50_Reactive_Olig2_2_features_d.csv 50_Reactive_Olig2_2_features_h.csv",61758,380021,0.162512071701301,112,602,0.186046511627907
"134","50","50_Reactive_Olig2_3_features_d.csv 50_Reactive_Olig2_3_features_h.csv",63068,377094,0.167247423719285,128,604,0.211920529801325
"135","50","50_Reactive_Olig2_4_features_d.csv 50_Reactive_Olig2_4_features_h.csv",42283,331653,0.127491685587044,75,483,0.15527950310559
"136","50","50_Reactive_Olig2_5_features_d.csv 50_Reactive_Olig2_5_features_h.csv",56883,475045,0.11974234019935,101,698,0.144699140401146
"137","50","50_Reactive_Olig2_6_features_d.csv 50_Reactive_Olig2_6_features_h.csv",33594,309481,0.108549474765818,50,447,0.111856823266219
"138","50","50_Reactive_Olig2_7_features_d.csv 50_Reactive_Olig2_7_features_h.csv",24455,432671,0.0565210055677408,45,643,0.0699844479004666
"139","50","50_Reactive_Olig2_8_features_d.csv 50_Reactive_Olig2_8_features_h.csv",40221,359774,0.111795182531256,55,483,0.113871635610766
"140","50","50_Reactive_Olig2_9_features_d.csv 50_Reactive_Olig2_9_features_h.csv",86139,402775,0.213863819750481,206,667,0.308845577211394
"141","50","50_Recurrent_Olig2_1_features_d.csv 50_Recurrent_Olig2_1_features_h.csv",41333,250971,0.164692334970973,111,414,0.268115942028986
"142","50","50_Recurrent_Olig2_10_features_d.csv 50_Recurrent_Olig2_10_features_h.csv",71521,652339,0.109637780356532,134,916,0.146288209606987
"143","50","50_Recurrent_Olig2_2_features_d.csv 50_Recurrent_Olig2_2_features_h.csv",48658,405386,0.120028812045803,100,606,0.165016501650165
"144","50","50_Recurrent_Olig2_3_features_d.csv 50_Recurrent_Olig2_3_features_h.csv",17149,274196,0.0625428525580242,56,445,0.125842696629213
"145","50","50_Recurrent_Olig2_4_features_d.csv 50_Recurrent_Olig2_4_features_h.csv",35581,449692,0.0791230442169307,65,647,0.100463678516229
"146","50","50_Recurrent_Olig2_5_features_d.csv 50_Recurrent_Olig2_5_features_h.csv",74941,650743,0.115162206892736,126,813,0.154981549815498
"147","50","50_Recurrent_Olig2_6_features_d.csv 50_Recurrent_Olig2_6_features_h.csv",92916,660705,0.140631598065703,148,896,0.165178571428571
"148","50","50_Recurrent_Olig2_7_features_d.csv 50_Recurrent_Olig2_7_features_h.csv",92605,684074,0.135372781307285,163,963,0.16926272066459
"149","50","50_Recurrent_Olig2_8_features_d.csv 50_Recurrent_Olig2_8_features_h.csv",83992,619875,0.135498285944747,143,861,0.166085946573751
"150","50","50_Recurrent_Olig2_9_features_d.csv 50_Recurrent_Olig2_9_features_h.csv",55262,500733,0.110362209001604,107,680,0.157352941176471
"151","53","53_Reactive_1_olig2_1_features_d.csv 53_Reactive_1_olig2_1_features_h.csv",3372,851118,0.00396184782838572,27,1380,0.0195652173913043
"152","53","53_Reactive_1_olig2_10_features_d.csv 53_Reactive_1_olig2_10_features_h.csv",34738,923760,0.0376050056291677,260,1789,0.14533258803801
"153","53","53_Reactive_1_olig2_2_features_d.csv 53_Reactive_1_olig2_2_features_h.csv",2187,809419,0.00270193805680371,16,1141,0.014022787028922
"154","53","53_Reactive_1_olig2_3_features_d.csv 53_Reactive_1_olig2_3_features_h.csv",31835,822198,0.0387193838953634,179,1198,0.149415692821369
"155","53","53_Reactive_1_olig2_4_features_d.csv 53_Reactive_1_olig2_4_features_h.csv",3387,713252,0.00474867227852148,28,1254,0.0223285486443381
"156","53","53_Reactive_1_olig2_5_features_d.csv 53_Reactive_1_olig2_5_features_h.csv",10695,771052,0.0138706598257964,73,1356,0.053834808259587
"157","53","53_Reactive_1_olig2_6_features_d.csv 53_Reactive_1_olig2_6_features_h.csv",5763,809483,0.0071193588994457,32,1349,0.0237212750185322
"158","53","53_Reactive_1_olig2_7_features_d.csv 53_Reactive_1_olig2_7_features_h.csv",33576,692992,0.0484507757665312,151,1295,0.116602316602317
"159","53","53_Reactive_1_olig2_8_features_d.csv 53_Reactive_1_olig2_8_features_h.csv",2812,880417,0.00319394105293287,62,1605,0.0386292834890966
"160","53","53_Reactive_1_olig2_9_features_d.csv 53_Reactive_1_olig2_9_features_h.csv",27630,687027,0.0402167600399984,158,1351,0.116950407105848
"161","53","53_Reactive_2_olig2_1_features_d.csv 53_Reactive_2_olig2_1_features_h.csv",73821,932382,0.079174630140865,230,1629,0.141190914671578
"162","53","53_Reactive_2_olig2_10_features_d.csv 53_Reactive_2_olig2_10_features_h.csv",3902,608891,0.00640837194177611,22,1191,0.0184718723761545
"163","53","53_Reactive_2_olig2_2_features_d.csv 53_Reactive_2_olig2_2_features_h.csv",52803,743060,0.071061556267327,167,1374,0.121542940320233
"164","53","53_Reactive_2_olig2_3_features_d.csv 53_Reactive_2_olig2_3_features_h.csv",1896,499566,0.00379529431546582,6,964,0.00622406639004149
"165","53","53_Reactive_2_olig2_4_features_d.csv 53_Reactive_2_olig2_4_features_h.csv",10999,563357,0.0195240318306154,35,1111,0.0315031503150315
"166","53","53_Reactive_2_olig2_5_features_d.csv 53_Reactive_2_olig2_5_features_h.csv",7231,419419,0.0172405160471986,21,807,0.0260223048327138
"167","53","53_Reactive_2_olig2_6_features_d.csv 53_Reactive_2_olig2_6_features_h.csv",2135,672308,0.00317562783724126,8,1281,0.00624512099921936
"168","53","53_Reactive_2_olig2_7_features_d.csv 53_Reactive_2_olig2_7_features_h.csv",8362,567932,0.0147235936696647,35,960,0.0364583333333333
"169","53","53_Reactive_2_olig2_8_features_d.csv 53_Reactive_2_olig2_8_features_h.csv",58389,783925,0.074482890582645,234,1483,0.157788267026298
"170","53","53_Reactive_2_olig2_9_features_d.csv 53_Reactive_2_olig2_9_features_h.csv",21406,874398,0.0244808428198601,97,1631,0.0594727161250766
"171","53","53_Reactive_3_olig2_1_features_d.csv 53_Reactive_3_olig2_1_features_h.csv",12637,873757,0.0144628311990634,45,1584,0.0284090909090909
"172","53","53_Reactive_3_olig2_10_features_d.csv 53_Reactive_3_olig2_10_features_h.csv",12872,1128086,0.0114104775699725,77,1722,0.0447154471544715
"173","53","53_Reactive_3_olig2_2_features_d.csv 53_Reactive_3_olig2_2_features_h.csv",15168,1058954,0.0143235683514109,87,1772,0.0490970654627539
"174","53","53_Reactive_3_olig2_3_features_d.csv 53_Reactive_3_olig2_3_features_h.csv",27480,961419,0.0285827511209993,135,1537,0.0878334417696812
"175","53","53_Reactive_3_olig2_4_features_d.csv 53_Reactive_3_olig2_4_features_h.csv",28582,993144,0.0287793109559137,123,1709,0.0719719133996489
"176","53","53_Reactive_3_olig2_5_features_d.csv 53_Reactive_3_olig2_5_features_h.csv",8685,768860,0.011295944645319,22,1402,0.0156918687589158
"177","53","53_Reactive_3_olig2_6_features_d.csv 53_Reactive_3_olig2_6_features_h.csv",12292,580396,0.0211786435468198,29,1113,0.0260557053009883
"178","53","53_Reactive_3_olig2_7_features_d.csv 53_Reactive_3_olig2_7_features_h.csv",9284,848942,0.0109359650011426,33,1550,0.0212903225806452
"179","53","53_Reactive_3_olig2_8_features_d.csv 53_Reactive_3_olig2_8_features_h.csv",17071,926924,0.0184168281326193,46,1597,0.0288040075140889
"180","53","53_Reactive_3_olig2_9_features_d.csv 53_Reactive_3_olig2_9_features_h.csv",14965,949866,0.015754853842542,33,1457,0.0226492793411119
"181","53","53_Reactive_4_olig2_1_features_d.csv 53_Reactive_4_olig2_1_features_h.csv",6989,879590,0.00794574745051672,26,1451,0.0179186767746382
"182","53","53_Reactive_4_olig2_10_features_d.csv 53_Reactive_4_olig2_10_features_h.csv",14005,757998,0.0184763020482904,36,1250,0.0288
"183","53","53_Reactive_4_olig2_2_features_d.csv 53_Reactive_4_olig2_2_features_h.csv",8861,814424,0.0108800821193874,18,1272,0.0141509433962264
"184","53","53_Reactive_4_olig2_3_features_d.csv 53_Reactive_4_olig2_3_features_h.csv",25764,792091,0.0325265657607522,59,1524,0.0387139107611549
"185","53","53_Reactive_4_olig2_4_features_d.csv 53_Reactive_4_olig2_4_features_h.csv",54655,719543,0.0759579344111471,111,1429,0.0776766969909027
"186","53","53_Reactive_4_olig2_5_features_d.csv 53_Reactive_4_olig2_5_features_h.csv",11694,778123,0.0150284723623386,28,1406,0.0199146514935989
"187","53","53_Reactive_4_olig2_6_features_d.csv 53_Reactive_4_olig2_6_features_h.csv",6791,886924,0.00765680035718957,17,1569,0.0108349267049076
"188","53","53_Reactive_4_olig2_7_features_d.csv 53_Reactive_4_olig2_7_features_h.csv",35371,747005,0.047350419341236,80,1452,0.0550964187327824
"189","53","53_Reactive_4_olig2_8_features_d.csv 53_Reactive_4_olig2_8_features_h.csv",40874,960675,0.0425471673562859,103,1713,0.060128429655575
"190","53","53_Reactive_4_olig2_9_features_d.csv 53_Reactive_4_olig2_9_features_h.csv",6004,855820,0.00701549391227127,16,1382,0.0115774240231548
"191","56","56_Control_1_olig2_1_features_d.csv 56_Control_1_olig2_1_features_h.csv",39080,334959,0.11667099555468,185,421,0.439429928741093
"192","56","56_Control_1_olig2_10_features_d.csv 56_Control_1_olig2_10_features_h.csv",150580,365674,0.411787548472136,419,615,0.68130081300813
"193","56","56_Control_1_olig2_2_features_d.csv 56_Control_1_olig2_2_features_h.csv",64438,401338,0.160557933711734,215,533,0.403377110694184
"194","56","56_Control_1_olig2_3_features_d.csv 56_Control_1_olig2_3_features_h.csv",62716,318401,0.196971743179199,335,427,0.784543325526932
"195","56","56_Control_1_olig2_4_features_d.csv 56_Control_1_olig2_4_features_h.csv",96471,409793,0.235413977300735,269,524,0.513358778625954
"196","56","56_Control_1_olig2_5_features_d.csv 56_Control_1_olig2_5_features_h.csv",55128,223755,0.246376617282295,187,330,0.566666666666667
"197","56","56_Control_1_olig2_6_features_d.csv 56_Control_1_olig2_6_features_h.csv",122869,337366,0.364200897541542,333,494,0.674089068825911
"198","56","56_Control_1_olig2_7_features_d.csv 56_Control_1_olig2_7_features_h.csv",100803,391571,0.257432240896287,269,521,0.516314779270633
"199","56","56_Control_1_olig2_8_features_d.csv 56_Control_1_olig2_8_features_h.csv",104649,325622,0.321381847663856,300,502,0.597609561752988
"200","56","56_Control_1_olig2_9_features_d.csv 56_Control_1_olig2_9_features_h.csv",128856,293902,0.43843185823846,312,438,0.712328767123288
"201","56","56_Reactive_1_olig2_1_features_d.csv 56_Reactive_1_olig2_1_features_h.csv",242907,551335,0.440579683858271,685,912,0.75109649122807
"202","56","56_Reactive_1_olig2_10_features_d.csv 56_Reactive_1_olig2_10_features_h.csv",110087,596713,0.184489025712528,367,963,0.381100726895119
"203","56","56_Reactive_1_olig2_2_features_d.csv 56_Reactive_1_olig2_2_features_h.csv",176237,522251,0.337456510375279,499,802,0.622194513715711
"204","56","56_Reactive_1_olig2_3_features_d.csv 56_Reactive_1_olig2_3_features_h.csv",224028,499137,0.448830681756712,626,810,0.772839506172839
"205","56","56_Reactive_1_olig2_4_features_d.csv 56_Reactive_1_olig2_4_features_h.csv",210106,520938,0.403322468316767,631,772,0.817357512953368
"206","56","56_Reactive_1_olig2_5_features_d.csv 56_Reactive_1_olig2_5_features_h.csv",221817,472188,0.469764161732191,631,782,0.80690537084399
"207","56","56_Reactive_1_olig2_6_features_d.csv 56_Reactive_1_olig2_6_features_h.csv",184214,509633,0.36146403392245,513,800,0.64125
"208","56","56_Reactive_1_olig2_7_features_d.csv 56_Reactive_1_olig2_7_features_h.csv",203358,712009,0.285611558280864,578,1060,0.545283018867925
"209","56","56_Reactive_1_olig2_8_features_d.csv 56_Reactive_1_olig2_8_features_h.csv",137275,513243,0.267465898219752,392,807,0.485749690210657
"210","56","56_Reactive_1_olig2_9_features_d.csv 56_Reactive_1_olig2_9_features_h.csv",116949,581882,0.200984048312201,433,882,0.49092970521542
"211","56","56_Reactive_2_olig2_1_features_d.csv 56_Reactive_2_olig2_1_features_h.csv",35029,420874,0.0832291849817285,198,805,0.245962732919255
"212","56","56_Reactive_2_olig2_10_features_d.csv 56_Reactive_2_olig2_10_features_h.csv",91912,854933,0.107507839795633,426,1323,0.321995464852608
"213","56","56_Reactive_2_olig2_2_features_d.csv 56_Reactive_2_olig2_2_features_h.csv",42299,446390,0.0947579470866283,174,810,0.214814814814815
"214","56","56_Reactive_2_olig2_3_features_d.csv 56_Reactive_2_olig2_3_features_h.csv",45275,411390,0.110053720314057,201,742,0.27088948787062
"215","56","56_Reactive_2_olig2_4_features_d.csv 56_Reactive_2_olig2_4_features_h.csv",50495,490095,0.103031045001479,161,891,0.180695847362514
"216","56","56_Reactive_2_olig2_5_features_d.csv 56_Reactive_2_olig2_5_features_h.csv",45034,528431,0.0852221008986982,173,811,0.213316892725031
"217","56","56_Reactive_2_olig2_6_features_d.csv 56_Reactive_2_olig2_6_features_h.csv",35755,504137,0.070923181595479,147,785,0.187261146496815
"218","56","56_Reactive_2_olig2_7_features_d.csv 56_Reactive_2_olig2_7_features_h.csv",39751,505606,0.0786205068768962,122,895,0.136312849162011
"219","56","56_Reactive_2_olig2_8_features_d.csv 56_Reactive_2_olig2_8_features_h.csv",29177,604052,0.0483021329289531,188,1014,0.185404339250493
"220","56","56_Reactive_2_olig2_9_features_d.csv 56_Reactive_2_olig2_9_features_h.csv",83538,606448,0.137749650423449,343,1050,0.326666666666667
"221","7","7_Control_Olig2_1_features_d.csv 7_Control_Olig2_1_features_h.csv",72204,580703,0.124338947792589,130,1113,0.116801437556155
"222","7","7_Control_Olig2_10_features_d.csv 7_Control_Olig2_10_features_h.csv",150903,592639,0.254628871876471,305,1061,0.28746465598492
"223","7","7_Control_Olig2_2_features_d.csv 7_Control_Olig2_2_features_h.csv",53596,521954,0.102683378228733,84,840,0.1
